name,name2,gender,nation,birth,height,weight,event,nationplace,身高
安-弗雷泽 ,Shelly-Ann Fraser-Pryce,女,牙买加,1986年11月27日,160厘米,52kg,田径,,160
安吉尔·麦克康特利 ,Angel McCoughtry,女,美国,1986年9月10日,185cm,73kg,篮球,,185
毕晓琳 ,Bi Xiaolin,女,中国,1989年9月18日,,,足球,辽宁,
阿莱克斯•加西亚 ,Alex Garcia,男,巴西,1980年3月4日,191厘米,89kg,篮球,,191
保罗·乔治 ,Paul George,男,美国,1990年5月2日,203厘米,95kg,篮球,,203
阿尔法拉克·阿米奴 ,Al-Farouq Aminu,男,尼日利亚,1990年9月21日,206厘米,98kg,篮球,,206
安德森•瓦莱乔 ,Anderson Varejao,男,巴西,1982年9月28日,211厘米,118kg,篮球,,211
博涅娃 ,BONEVA Antoaneta,女,保加利亚,1986年1月17日,,,射击,,
阿隆·贝内斯 ,Aron Baynes,男,澳大利亚,1986年12月9日,208厘米,118kg,篮球,,208
埃米莉·西博姆 ,Emily Jane Seebohm,女,澳大利亚,1992年6月5日,1.80米,64kg,游泳,,1.8
巴哈尔·卡格拉尔 ,Bahar Caglar,女,土耳其,1988年9月28日,191厘米,76kg,篮球,,191
安德烈斯·诺西奥尼 ,Andres Nocioni,男,阿根廷,1979年11月30日,201厘米,102kg,篮球,,201
安迪·穆雷 ,Andy Murray,男,英国,1987年5月15日,191厘米,81kg,网球,,191
波尔 ,Timo Boll,男,德国,1981年3月8日,178cm,65kg,乒乓球,,178
艾克内·伊贝克维 ,Ekene Ibekwe,男,尼日利亚,1985年7月19日,206厘米,100kg,篮球,,206
阿列克谢·克里莫夫 ,Alexey Klimov ,男,俄罗斯,1975年8月27日,182cm,81kg,射击,,182
鲍语晴 ,Bao Yuqing,女,中国,,,,艺术体操,浙江,
奥古斯托 ,Augusto,男,巴西,1988年2月8日,186cm,86kg,男子足球,,186
艾衍含 ,Ai Yanhan,女,中国,2002年2月7日,,,游泳,湖北,
毕胜峰 ,Bi Shengfeng,男,中国,,,,摔跤,,
鲍里斯·迪奥 ,Boris Diaw,男,法国,1982年4月16日,203厘米,107kg,篮球,,203
阿索维奇 ,ARSOVIC Andrea,,,,,,,,
贝莎妮·马泰克-桑兹 ,Bethanie Mattek-Sands,女,美国,1985年3月23日,168cm,66.4kg,网球,,168
卞卡 ,BIAN Ka,女,中国,1993年1月5日,182厘米,113kg,女子铅球,江苏,182
安赫尔-科雷亚 ,Angel Correa,男,阿根廷,1995年3月9日,173cm,71kg,男子足球,,173
查德·勒克洛斯 ,Chad le Clos,男,南非,1992年4月12日,1.83米,77.8kg,游泳,,1.8
保罗·加索尔 ,Pau Gasol,男,西班牙,1980年7月6日,213cm,118kg,篮球,,213
埃德加-耶 ,Edgar Ie,男,葡萄牙,1994年5月1日,176cm,72kg,男子足球,,176
陈楠 ,Chen Nan,女,中国,1983年12月8日,197厘米,90kg,篮球,青岛胶南,197
白发全 ,Bai Faquan ,男,中国,1986年3月18日,175cm,64kg,铁人三项,云南,175
查尔斯·卡胡迪 ,Charles Kahudi,男,法国,1983年5月25日,190厘米,94kg,篮球,,190
成池铉 ,Sung Ji Hyun,女,韩国,1991年7月29日,169厘米,59kg,羽毛球,,169
陈晓佳 ,Chen Xiao Jia,女,中国,1988年4月2日,180厘米,70kg,篮球,江苏无锡,180
程训钊 ,Cheng Xunzhao,男,中国,1991年,,,柔道,江苏,
陈扬 ,CHEN Yang,女,中国,1991年7月10日,180厘米,100kg,女子铁饼,河北,180
谌利军 ,Chen Li Jun,男,中国:,,,,举重,湖南,
陈洁 ,Chen Jie,女,中国,1995年,176厘米,,游泳,湖北,176
陈倩 ,Chen Qian,女,中国,1987年1月14日,163厘米,54kg,女子现代五项,江苏,163
陈欣怡 ,Chen Xinyi,女,中国,1998年,,,游泳,上海,
陈海威 ,Chen Haiwei,男,中国,1994年12月30日,188cm,,击剑,福建,188
崔米尚 ,CHOI Misun,女,韩国,1996年7月1日,,,射箭,,
曹忠荣 ,Cao Zhongrong,男,中国,1981年11月3日,180厘米,73kg,男子现代五项,上海,180
曹玥 ,Cao Yue,女,中国,1995年,,,游泳,山西,
崔秋霞 ,Cui Qiuxia,女,中国,1990年9月11日,166cm,63kg,曲棍球,,166
曹缘 ,Cao Yuan,男,中国,1995年2月7日,160厘米,42kg,跳水,北京市,160
曹硕 ,Cao Shuo,男,中国,1991年10月8日,180厘米,76kg,男子三级跳远,河北,180
曾珍 ,Zeng Zhen,女,中国,1993年11月28日,170cm,61kg,花样游泳,四川,170
陈定 ,Chen Ding,男,中国,1992年8月5日,177厘米,61kg,男子20公里竞走,云南,177
陈颖 ,Chen Ying,女,中国,1977年11月4日,164厘米,75kg,射击,北京,164
陈若琳 ,Chen Ruolin,女,中国,1992年12月12日,158厘米,47kg,跳水,江苏省,158
曾涛 ,Zeng Tao,男,中国,,,,赛艇,湖南,
德玛尔·德罗赞 ,DeMar DeRozan,男,美国,1989年8月7日,201厘米,100kg,篮球,,201
德娇娇 ,De Jiaojiao,女,中国,1990年1月5日,168厘米,56kg,女子曲棍球,天津,168
谌龙 ,Chen Long,男,中国,1989年1月18日,188厘米,78kg,羽毛球,福建,188
杜丽 ,Du Li,女,中国,1982年3月5日,170厘米,55kg,射击,山东,170
达米里斯·丹特斯 ,Damiris Dantas,女,巴西,1992年11月17日,192厘米,88kg,篮球,,192
曹慧 ,Cao Hui,女,中国,,,,射箭,辽宁,
德马库斯·考辛斯 ,DeMarcus Cousins,男,美国,1990年8月13日,211厘米,123kg,篮球,,211
多布杰 ,Duo Bujie,男,中国,1994年,170cm,55kg,田径,西藏,170
柴飚 ,Chai Biao,男,中国,1990年10月10日,183厘米,70kg,羽毛球,湖南,183
德安德鲁·乔丹 ,DeAndre Jordan,男,美国,1988年7月21日,211厘米,120kg,篮球,,211
丁彦雨航 ,Di Yanyuhang,男,中国,1993年8月20日,200厘米,91kg,篮球,新疆克拉玛依,200
丁宁 ,Ding Ning,女,中国,1990年6月20日,170cm,63kg,乒乓球,黑龙江,170
邓书弟 ,Deng Shudi,男,中国,1991年9月10日,,,体操,贵州,
单晓娜 ,Shan Xiaona,女,德国,,,,乒乓球,,
邓薇 ,Deng Wei,女,中国,1993年2月14日,158CM,60kg,举重,福建,158
德拉甘·斯坦科维奇 ,Dragan Stankovic,男,塞尔维亚,1985年10月18日,205厘米,80kg,排球,,205
杜凯琹 ,Du Kaiqin,女,中国香港,1996年11月27日,,,乒乓球,,
丹羽孝希 ,Niwa Kouki,男,日本,1994年10月10日,162厘米,51kg,乒乓球,,162
蒂娜·查尔斯 ,Tina Charles,女,美国,1988年12月5日,193cm,90kg,篮球,,193
冯彬 ,Feng bin,女,中国,1994年4月3日,184厘米,95kg,女子铁饼,山东,184
董洁 ,Dong Jie,女,中国,,,,游泳,天津,
邓志伟 ,Deng Zhiwei,男,中国,,,,男子古典式摔跤125公斤级,河北,
菲利普·雷耶斯 ,Felipe  Reyes,男,西班牙,1980年3月16日,206cm,115kg,篮球,,206
董栋 ,Dong Dong,男,中国,1989年4月13日,168厘米,60kg,蹦床,河南,168
迪米特里·奥恰洛夫 ,Ovtcharov Dimitrij,男,德国,1988年9月2日,183cm,71kg,乒乓球,,183
费尔南多·圣梅里特奥 ,Fernando San Emeterio,男,西班牙,1984年1月1日,199cm,105kg,篮球,,199
董国建 ,Dong Guojian,男,中国,1987年3月16日,172厘米,60kg,田径,云南,172
大卫·安德森 ,David Andersen,男,澳大利亚,1980年6月23日,211厘米,112kg,篮球,,211
范忆琳 ,Fan Yilin,女,中国,1999年11月11日,,,体操,上海,
福原爱 ,Fukuhara Ai,女,日本,1988年11月1日,154厘米,48kg,乒乓球,,154
高阳 ,GAO Yang,女,中国,1993年3月1日,178厘米,115kg,女子铅球,山东,178
菲尔普斯 ,Michael Phelps,男,美国,1985年6月30日,193cm,79kg,游泳,,193
葛曼棋 ,GE Manqi,女,中国,1997年10月13日,160厘米,48kg,女子短跑,福建,160
冯天薇 ,Feng Tianwei,女,新加坡,1986年8月31日,164厘米,58kg,乒乓球,,164
高颂 ,Gao Song,女,中国,1992年4月16日,191厘米,85kg,篮球,黑龙江,191
菲利佩-吴 ,Felipe Almeida WU,,,,,,,,
古斯塔沃-坪井 ,TSUBOI Gustavo,男,巴西,1985年5月31日,170厘米,67kg,乒乓球,,170
傅园慧 ,Fu Yuanhui,女,中国,1996年1月7日,177厘米,63kg,游泳,浙江,177
高磊 ,Gao Lei,男,中国,,,,蹦床,,
范阳 ,Fan Yang,男,中国,,,,自行车,上海,
呙俐 ,Guo Li,女,中国,,167厘米,,花样游泳,江苏,167
弗拉基米尔·莫洛佐夫 ,Vladimir Morozov,男,俄罗斯,1992年6月16日,185厘米,80kg,游泳,,185
古雅沙 ,GU Yasha,女,中国,1990年11月28日,,,足球,河南,
傅海峰 ,Fu Hai Feng,男,中国,1984年1月2日,181厘米,78kg,羽毛球,广东,181
高晨 ,GAO Chen,女,中国,1992年8月11日,,,足球,辽宁,
冯珊珊 ,Feng Shanshan,女,中国,1989年8月5日,173cm,68kg,高尔夫,广东,173
郭文珺 ,Guo Wenjun,女,中国,1984年6月22日,168厘米,65kg,射击,陕西,168
郭建力 ,Guo Jianli,男,中国,1988年3月6日,,,现代五项,广东,
郭艾伦 ,Guo Ailun,男,中国,1993年11月14日,192厘米,85kg,篮球,辽宁,192
巩立姣 ,Gong Lijiao,女,中国,1989年1月24日,175厘米,108kg,女子铅球,河北,175
何钧杰 ,HO Kwan Kit,男,中国香港,1997年4月20日,175厘米,60kg,乒乓球,,175
郝佳露 ,Hao Jialu,女,中国,1987年8月20日,176cm,,击剑,山西,176
胡安·卡洛斯·纳瓦罗 ,Juan Carlos Navarro,男,西班牙,1980年6月13日,191cm,77kg,篮球,,191
宫磊 ,Gong Lei,男,中国,1983年3月26日,185厘米,88kg,帆船,山东省,185
华天 ,Hua Tian,男,中国,1989年10月25日,187厘米,70kg,马术,北京,187
华绍青 ,HUA Shaoqing,女,中国,1994年2月12日,172厘米,54kg,女子中长跑,河北,172
盖尔曼·桑切斯 ,Germán Sánchez,男,墨西哥,1992年6月24日,,,跳水,,
黄雪辰 ,Huang Xuechen,女,中国,1990年2月25日,175cm,62kg,花样游泳,上海,175
何雯娜 ,He Wenna,女,中国,1989年1月19日,160厘米,48kg,蹦床,福建,160
宫金杰 ,Gong Jinjie,女,中国,1986年11月12日,168厘米,67kg,自行车,吉林,168
黄红枇 ,Huang Hong Pi,女,中国,1989年4月,195厘米,80kg,篮球,广西南宁,195
黄丽珠 ,Huang Li Zhu,女,中国,,175厘米,,帆船,海南,175
顾雪宋 ,Gu Xuesong,男,中国,,,,射箭,,
何健彬 ,He Jianbin,男,中国,1993年2月18日,188厘米,79kg,游泳,广东,188
韩鹏 ,Han Peng,女,中国,1989年12月20日,,,足球,山东,
顾笑 ,Gu Xiao,女,中国,1993年3月18日,174cm,60kg,游泳,江苏,174
何姿 ,He Zi,女,中国,1990年12月10日,159厘米,51kg,跳水,广西,159
侯雅雯 ,Hou Yanwen,女,中国,,,,游泳,辽宁,
高兴龙 ,Gao Xinglong,男,中国,1994年3月12日,181cm,70kg,田径,黑龙江,181
胡逸轩 ,Hu Yixuan,男,中国,1994年10月,,,游泳,浙江,
哈里森·巴恩斯 ,Harrison Barnes,男,美国,1992年5月29日,203厘米,95kg,篮球,,203
韩玉成 ,Han Yucheng,男,中国,1978年12月16日,175cm,63kg,田径,辽宁,175
黄冬艳 ,Huang Dongyan,女,中国,,,,自行车,上海,
黄文仪 ,Huang Wenyi ,女,中国,1991年3月6日,178厘米,63kg,赛艇,广东省,178
黄思静 ,Huang Si Jing,女,中国,1996年4月,192厘米,80kg,篮球,广东梅州,192
惠若琪 ,Hui Ruoqi,女,中国,1991年3月4日,191厘米,77kg,排球,辽宁,191
胡斌渊 ,Hu Binyuan,男,中国,1977年11月7日,180厘米,67kg,射击,上海,180
黄镇廷 ,WONG Chun Ting,男,中国香港,1991年9月7日,175厘米,60kg,乒乓球,,175
黄常洲 ,Huang Changzhou,男,中国,1994年8月20日,186cm,73kg,田径,四川,186
韩莹 ,Han Ying,女,德国,1983年4月29日,,,乒乓球,,
金延璟 ,Kim yeon-koung,女,韩国,1988年2月26日,192厘米,73kg,排球,,192
黄博凯 ,Huang Bokai,男,中国,1996年9月26日,192cm,78kg,田径,广东,192
敬亚莉 ,Jing Yali,女,中国,1993年5月25日,,,自行车,河南,
杰西卡-恩尼斯 ,Jessica Ennis,女,英国,1986年1月28日,165厘米,57kg,田径,,165
加尔比妮·穆古鲁扎 ,Garbiñe Muguruza,女,西班牙,1993年10月8日,182cm,73kg,网球,,182
贾斯汀-加特林 ,Justin Gatlin,男,美国,1982年2月10日,185厘米,83kg,田径,,185
凯文·杜兰特 ,Kevin Durant,男,美国,1988年9月29日,206厘米,104kg,篮球,,206
江燕 ,Jiang Yan,女,中国,,,,赛艇,山东,
卡梅伦·范德伯格 ,Cameron van der Burgh,男,南非,1988年5月25日,1.85米,85kg,游泳,,1.8
吉米·巴特勒 ,Jimmy Butler,男,美国,1989年9月14日,201厘米,101kg,篮球,,201
凯特·坎贝尔 ,Cate Campbell,女,澳大利亚,1995年5月10日,1.86米,67kg,游泳,,1.8
焦云龙 ,Jiao Yunlong,男,中国,1988年5月9日,190cm,,击剑,安徽,190
奎赫梅•乔万诺尼 ,Guilherme Giovannoni,男,巴西,1980年6月2日,204厘米,97kg,篮球,,204
吉奥瓦尼-西蒙尼 ,Giovanni Simeone,男,阿根廷,1995年7月5日,181cm,81kg,男子足球,,181
孔令微 ,KONG Lingwei,女,中国,1995年7月28日,165厘米,55kg,女子短跑,黑龙江,165
金特尔 ,Matthias Ginter,男,德国,1994年1月19日,188cm,85kg,男子足球,,188
凯瑞·厄文 ,Kyrie Irving,男,美国,1992年3月23日,191厘米,81kg,篮球,,191
金威 ,Jin Wei,男,中国,,,,赛艇,辽宁,
凯尔·洛里 ,Kyle Lowry,男,美国,1986年3月25日,183厘米,93kg,篮球,,183
科斯特耶维奇 ,Olena KOSTEVYCH,,,,,,,,
李慕豪 ,Li Muhao,男,中国,1992年6月2日,225厘米,111kg,篮球,贵州贵阳,225
罗伦特·皮特鲁斯 ,Florent Pietrus,男,法国,1981年1月19日,202厘米,103kg,篮球,,202
凯蒂·莱德基 ,Katie Ledecky,女,美国,1997年3月17日,180厘米,70kg,游泳,,180
李倩 ,Li Qian,女,中国,,,,拳击,河南,
刘诗颖 ,LIU Shiying,女,中国,1993年9月24日,178厘米,78kg,女子标枪,山东,178
库雅妮特拉·霍林斯沃斯 ,Kuanitra Holingsvorth,女,土耳其,1988年11月15日,196厘米,91kg,篮球,,196
劳尔•托格尼•内托 ,Raul Togni Neto,男,巴西,1992年5月20日,189厘米,82kg,篮球,,189
丽泽内·墨菲 ,Lizanne Murphy,女,加拿大,1984年3月15日,183厘米,75kg,篮球,,183
卡罗丽娜·马琳 ,Carolina Marín,女,西班牙,1993年6月15日,,,羽毛球,,
莱昂纳多•巴博萨 ,Leandro Barbosa,男,巴西,1982年11月28日,191厘米,92kg,篮球,,191
李小红 ,LI Xiaohong,女,中国,1995年1月8日,175厘米,56kg,女子三级跳远,福建,175
卡汀卡·霍斯祖 ,Katinka Hosszú,女,匈牙利,1989年5月3日,170厘米,60kg,游泳,,170
吕斌 ,Lv Bin,男,中国,1994年,,,拳击,浙江,
李尚洙 ,LEE Sangsu,男,韩国,1990年8月13日,172厘米,60kg,乒乓球,,172
卡梅伦·麦克沃伊 ,Cameron McEvoy,男,澳大利亚,1994年5月13日,183厘米,73kg,游泳,,183
鲁塔·梅卢提特 ,Rūta Meilutytė,女,立陶宛,1997年3月19日,1.73米,64kg,游泳,,1.7
梁小静 ,LIANG Xiaojing,女,中国,1997年4月7日,156厘米,45kg,女子短跑,广东,156
克莱恩·杜马克 ,Celine Dumerc,女,法国,,169厘米,项目:篮球,,,169
雷声 ,Lei Sheng,男,中国,1984年3月7日,193厘米,75kg,花剑,天津,193
吕扬 ,Lv Yang,女,中国,,,,赛艇,河南,
卡洛斯·德尔菲诺 ,Carlos Delfino,男,阿根廷,1982年8月29日,198厘米,104kg,篮球,,198
李晓霞 ,Li Xiaoxia,女,中国,1988年1月16日,174cm,64kg,乒乓球,辽宁,174
李珊珊 ,Li Shan Shan,女,中国,1987年4月,177厘米,70kg,篮球,江苏,177
克拉丽萨·桑托斯 ,Clarissa Santos,女,巴西,1988年3月10日,183厘米,94kg,篮球,,183
林慧君 ,LIN Huijun,女,中国,1993年2月1日,168厘米,kg,女子短跑,福建,168
刘湘 ,Liu Xiang ,女,中国,1996年9月1日,,,游泳,广东,
卡梅隆·安东尼 ,Carmelo Anthony,男,美国,1984年9月29日,203厘米,104kg,篮球,,203
罗杰·费德勒 ,Roger Federer,男,瑞士,1981年8月8日,185厘米,80kg,网球,,185
李丹 ,Li Dan,女,中国,1989年9月19日,155厘米,48kg,蹦床,广东省广州市,155
鲁迪·费尔南德斯 ,Rudy Fernandez ,男,西班牙,1985年4月4日,196cm,85kg,篮球,,196
李晓璐 ,Li Xiaolu,,,,,,,,
李强 ,Li Qiang ,男,中国,1989年1月4日,185厘米,83kg,皮划艇静水,辽宁省,185
龙清泉 ,Long Qing Quan,男,中国:,1990年12月3日,156厘米,56KG,举重,湖南,156
刘杉杉 ,LIU Shanshan,女,中国,1992年3月16日,,,足球,河北,
李冬娜 ,LI Dongna,女,中国,1988年12月6日,,,足球,辽宁,
黎雅君 ,Li Ya Jun,女,中国:,,,,举重,广东,
乐慧林 ,Le Huilin,女,中国,1989年4月1日,,,击剑,福建,
林丹 ,Lin Dan,男,中国,1983年10月14日,177厘米,70kg,羽毛球,福建,177
柳延星 ,YOO Yeon Seong,男,韩国,1986年8月19日,180厘米,68kg,羽毛球,,180
李影 ,LI Ying,女,中国,1993年1月7日,,,足球,重庆,
刘咏诗 ,Liu Yongshi,女,中国,1990年2月,176cm,,击剑,广东,176
梁馨枰 ,Liang Xinping,女,中国,1994年7月31日,171cm,60公斤,花样游泳,江苏,171
拉特查诺·因达农 ,Ratchanok Inthanon,女,泰国,1995年2月5日,165厘米,,羽毛球,,165
李悦 ,Li Yue,女,中国,1993年10月27日,,,皮划艇静水,云南贵州,
林超攀 ,Lin Chaopan,男,中国,1995年8月27日,,,体操,福建,
柳雅欣 ,Liu Yaxin,女,中国,1999年,,,游泳,浙江,
刘洋 ,Liu Yang,男,中国,1994年8月11日,,,体操,辽宁,
娄佳惠 ,Lou Jiahui,女,中国,1991年5月26日,,,足球,河南,
林永庆 ,Lin Yongqing,男,中国,1992年12月24日,190cm,80kg,游泳,辽宁,190
刘虹 ,Liu Hong,女,中国,1987年5月12日,161厘米,48kg,女子20公里竞走,江西,161
李朱濠 ,Li Zhuhao,男,中国,1999年1月9日,183cm,,游泳,浙江,183
莉兹·坎贝奇 ,Liz Cambage,女,澳大利亚,1991年8月18日,203厘米,98kg,篮球,,203
刘诗雯 , Liu Shiwen,女,中国,1991年4月12日,160厘米,54kg,乒乓球,辽宁,160
李广源 ,Li Guangyuan,男,中国,1997年2月27日,,,游泳,浙江,
蕾切尔·杰里 ,Rachel Jarry,女,澳大利亚,1991年12月6日,187厘米,77kg,篮球,,187
李响 , Li Xiang,男,中国,1993年7月2日,1.92米,86公斤,游泳,天津,1.9
李宗伟 ,Lee Chongwei,男,马来西亚,1982年10月21日,172厘米,60kg,羽毛球,,172
拉斐尔·纳达尔 ,Rafael Nadal,男,西班牙,1986年6月3日,185厘米,85kg,网球,,185
吕秀芝 ,LYU Xiuzhi,女,中国,1993年10月26日,156cm,42kg,女子20公里竞走,安徽,156
林俊红 ,Lin Junhong,女,中国,1990年12月9日,163厘米,61kg,自行车,黑龙江省,163
李冬晓 ,Li Dongxiao,女,中国,1987年11月26日,175厘米,60kg,女子曲棍球,辽宁,175
李玲[2] ,Li Ling,女,中国,1989年7月6日,185厘米,63kg,女子撑杆跳高,山东,185
刘兆尘 ,Liu Zhaochen,男,中国,1995年,,,游泳,浙江,
刘海萍 ,Liu Haiping,女,中国,1988年6月3日,174厘米,70kg,皮划艇静水,山东省,174
李露 ,Li Lu,女,中国,,,,皮划艇激流,四川,
林跃 ,Lin Yue,男,中国,1991年7月24日,157厘米,46kg,跳水,北京,157
刘浩 ,Liu Hao,男,中国,1988年,,,自行车,吉林,
吕会会 ,LYU Huihui,女,中国,1989年6月26日,171cm,68kg,女子标枪,河南,171
刘婷婷 ,Liu tingting,女,,,,,链球,,
李红侠 ,Li Hongxia ,女,中国,1986年9月10日,169厘米,62kg,女子曲棍球,辽宁,169
李玲蔚 ,Li Lingwei,女,中国,1989年1月26日,175厘米,68kg,女子标枪,山东,175
陆滢 ,Lu Ying,女,中国,1989年1月22日,175厘米,62kg,游泳,上海市,175
路易斯·斯科拉 ,Luis Scola,男,阿根廷,1980年4月30日,206厘米,111kg,篮球,,206
露雯 ,Lu Wen,女,中国,1990年4月,191厘米,78kg,篮球,内蒙古鄂尔多斯,191
劳瑞·马纳多 ,Laure Manaudou,女,法国,1986年10月9日,178厘米,62kg,游泳,,178
罗贝塔·文奇 ,Roberta Vinci,女,意大利,1983年2月18日,,,网球,,
梁美玉 ,Liang meiyu,女,中国,1994年1月8日,166cm,65kg,曲棍球,广东,166
罗晓玲 ,Luo Xiaoling,女,中国,1988年,,,自行车,甘肃,
李雪芮 ,Li Xue Rui,女,中国,1991年1月24日,173厘米,65kg,羽毛球,重庆,173
拉菲尼亚 ,Rafael,男,巴西,1993年3月12日,178cm,75kg,男子足球,,178
米西·富兰克林 ,Missy Franklin,女,美国,1995年5月10日,1.88米,75kg,游泳,,1.8
李胜珍 ,Li Shengzhen,女,韩国,1985年3月7日,165 厘米,60kg,射箭,,165
马龙 ,Ma Long,男,中国,1988年10月20日,175cm,72kg,乒乓球,辽宁,175
拉尔斯-本德 ,Lars Bender,男,德国,1989年4月27日,184cm,77kg,男子足球,,184
木村纱织 ,Saori Kimura,女,日本,1986年8月19日,185厘米,65kg,排球,,185
吕小军 ,Lv Xiaojun,男,中国,1984年7月27日,172厘米,77kg,举重,湖北,172
米歇尔·普罗菲 ,Michelle Plouffe,女,加拿大,1992年9月15日,191厘米,82kg,篮球,,191
林希妤 ,Lin Xiyu,女,中国,1996年2月25日,,,高尔夫,广东,
米兰达·阿伊木 ,Miranda Ayim,女,加拿大,1988年5月6日,183厘米,78kg,篮球,,183
李昊桐 ,Li Haotong,男,中国,1995年8月3日,183厘米,75kg,高尔夫,湖南,183
毛艺 ,Mao Yi,女,中国,1999年9月,,,体操,辽宁,
李龙大 ,Lee Yong Dae,男,韩国,1981年3月8日,178厘米,65kg,羽毛球,,178
苗甜 ,Miao Tian,女,中国,,,,苗甜,北京,
李皓晴 ,Li Haoqing,女,中国香港,,,,乒乓球,,
马克·加索尔 ,Marc Gasol,男,西班牙,1985年1月29日,216cm,120kg,篮球,,216
马赛林霍•胡尔塔斯 ,Marcelinho Huertas,男,巴西,1983年5月25日,190厘米,85kg,篮球,,190
马晓旭 ,MA Xiaoxu,女,中国,1988年6月5日,,,足球,辽宁,
马英楠 ,Ma Ying Nan,女,中国,,,,柔道,辽宁,
马青 ,Ma Qing,女,中国,1992年8月24日,,,皮划艇静水,山东,
马剑飞 ,Ma Jianfei,男,中国,1984年7月29日,186厘米,77kg,击剑,广东,186
玛蒂娜·辛吉斯 ,Martina Hingis,女,瑞士,1980年9月30日,170cm,,网球,,170
马修·埃蒙斯 ,Matthew Emmons,男,美国,1981年4月5日,178厘米,80kg,射击,,178
马思莱尼科夫 ,Vladimir MASLENNIKOV,男,俄罗斯,1994年8月17日,168厘米,67kg,射击男子气步枪,,168
米尔扎 ,Sania Mirza,女,印度,1986年11月15日,173cm,57kg,网球,,173
内内•希拉里奥 ,Nene Hilario,男,巴西,1982年9月13日,211厘米,113kg,篮球,,211
马金尼奥斯 ,Marquinhos,男,巴西,1994年5月14日,183cm,80kg,男子足球,,183
马修·德拉夫多瓦 ,Matthew Dellavedova,男,澳大利亚,1990年9月8日,193厘米,86kg,篮球,,193
